,gene_symbol,pearson,P_value
597,AMBRA1,0.026772537,0.882427469
598,AMD1,0.202506892,0.25838483
599,AMDHD1,0.237269536,0.183672303
600,AMDHD2,0.065302547,0.718057753
601,AMELX,-0.019560481,0.913960866
602,AMER1,0.109103346,0.54558226
603,AMER2,0.071171382,0.693888413
604,AMER3,0.065445725,0.717464793
605,AMFR,0.025760455,0.886843055
606,AMH,0.411359938,0.017390967
607,AMHR2,-0.044690179,0.804947025
608,AMIGO1,0.194342446,0.278480312
609,AMIGO2,-0.059316152,0.742990561
610,AMIGO3,-0.033627464,0.852618159
611,AMMECR1,0.271282379,0.126733829
612,AMMECR1L,0.074545219,0.68012516
613,AMN,0.434299253,0.011557022
614,AMN1,-0.094939562,0.599203199
615,AMOT,0.04622674,0.79837588
616,AMOTL1,0.02388855,0.895018644
617,AMOTL2,0.165780868,0.356518018
618,AMPD1,0.08089003,0.65451755
619,AMPD2,0.279282133,0.115488286
620,AMPD3,-0.021689541,0.904636369
621,AMPH,-0.00171898,0.99242498
622,AMT,-0.069285146,0.701625516
623,AMTN,-0.218420325,0.222025628
624,AMY1A,-0.217195795,0.224692641
625,AMY1B,-0.286035177,0.106590343
626,AMY1C,-0.054773236,0.762085515
627,AMY2A,-0.17894288,0.319063283
628,AMY2B,-0.292484959,0.098583853
629,AMZ1,0.375516406,0.03127845
630,AMZ2,0.073678069,0.683653167
631,ANAPC1,-0.24559459,0.168314291
632,ANAPC10,-0.198525262,0.268062213
633,ANAPC11,0.208069543,0.245254903
634,ANAPC13,0.181378539,0.312411341
635,ANAPC15,0.012847784,0.943428074
636,ANAPC16,0.351921634,0.044595349
637,ANAPC2,0.258705056,0.146022472
638,ANAPC4,0.10189318,0.572594734
639,ANAPC5,0.167949844,0.350171368
640,ANAPC7,0.086874065,0.630714507
641,ANG,0.180110508,0.315863499
642,ANGEL1,0.341621519,0.051680306
643,ANGEL2,-0.120513946,0.504103384
644,ANGPT1,0.205261716,0.251825683
645,ANGPT2,-0.147266826,0.413450265
646,ANGPT4,0.058726351,0.745461427
647,ANGPTL1,0.007227363,0.968158803
648,ANGPTL2,0.048519407,0.788596545
649,ANGPTL3,-0.134688115,0.454878886
650,ANGPTL4,-0.13568136,0.451529012
651,ANGPTL5,0.053255027,0.768498352
652,ANGPTL6,-0.113311965,0.530098097
653,ANGPTL7,-0.091020804,0.614429091
654,ANGPTL8,0.095400564,0.597422768
655,ANK1,0.088721618,0.623436971
656,ANK2,-0.050808998,0.77886184
657,ANK3,0.197293998,0.2711021
658,ANKAR,0.03038591,0.866692001
659,ANKDD1A,0.26760566,0.132165837
660,ANKDD1B,0.086545816,0.632011078
661,ANKEF1,-0.304814553,0.084558842
662,ANKFN1,-0.060152488,0.739491194
663,ANKFY1,0.014649482,0.93551019
664,ANKH,0.137837646,0.444302477
665,ANKHD1,0.193670451,0.280178125
666,ANKHD1-EIF4EBP3,0.068699147,0.704035257
667,ANKIB1,0.008003241,0.964742575
668,ANKK1,-0.086212963,0.633326935
669,ANKLE1,0.219999242,0.218618686
670,ANKLE2,0.286271623,0.106288441
671,ANKMY1,0.098957998,0.583761272
672,ANKMY2,0.136663714,0.44822896
